Precinct	Votes	votes|Jerry Joyce	pct|Jerry Joyce	votes|Paul Vallas	pct|Paul Vallas	votes|Willie L. Wilson	pct|Willie L. Wilson	votes|Toni Preckwinkle	pct|Toni Preckwinkle	votes|William M. Daley	pct|William M. Daley	votes|Garry Mccarthy	pct|Garry Mccarthy	votes|Gery Chico	pct|Gery Chico	votes|Susana A. Mendoza	pct|Susana A. Mendoza	votes|Amara Enyia	pct|Amara Enyia	votes|La Shawn K. Ford	pct|La Shawn K. Ford	votes|Neal Sales-Griffin	pct|Neal Sales-Griffin	votes|Lori Lightfoot	pct|Lori Lightfoot	votes|Robert ''Bob'' Fioretti	pct|Robert ''Bob'' Fioretti	votes|John Kenneth Kozlar	pct|John Kenneth Kozlar
09020	251	4	1.59	3	1.20	89	35.46	49	19.52	24	9.56	0	0	9	3.59	6	2.39	20	7.97	2	0.80	0	0	43	17.13	0	0	2	0.80
09021	219	3	1.37	6	2.74	85	38.81	41	18.72	22	10.05	1	0.46	7	3.20	7	3.20	13	5.94	6	2.74	0	0	28	12.79	0	0	0	0
09022	284	2	0.70	10	3.52	76	26.76	75	26.41	23	8.10	5	1.76	10	3.52	10	3.52	26	9.15	3	1.06	1	0.35	40	14.08	3	1.06	0	0
09023	299	7	2.34	8	2.68	72	24.08	69	23.08	27	9.03	0	0	11	3.68	9	3.01	37	12.37	5	1.67	3	1.00	48	16.05	2	0.67	1	0.33
09024	257	7	2.72	6	2.33	61	23.74	66	25.68	22	8.56	2	0.78	15	5.84	9	3.50	25	9.73	4	1.56	1	0.39	36	14.01	2	0.78	1	0.39
09025	257	4	1.56	1	0.39	69	26.85	62	24.12	23	8.95	2	0.78	9	3.50	5	1.95	31	12.06	3	1.17	1	0.39	46	17.90	1	0.39	0	0
09026	178	1	0.56	6	3.37	73	41.01	34	19.10	17	9.55	0	0	3	1.69	6	3.37	18	10.11	1	0.56	0	0	18	10.11	1	0.56	0	0
09027	196	4	2.04	2	1.02	67	34.18	46	23.47	19	9.69	3	1.53	2	1.02	5	2.55	15	7.65	4	2.04	0	0	29	14.80	0	0	0	0
09028	97	2	2.06	3	3.09	22	22.68	19	19.59	12	12.37	1	1.03	6	6.19	13	13.40	10	10.31	0	0	0	0	9	9.28	0	0	0	0
09029	206	2	0.97	4	1.94	72	34.95	56	27.18	22	10.68	0	0	1	0.49	5	2.43	16	7.77	4	1.94	3	1.46	19	9.22	2	0.97	0	0
09030	175	7	4.00	5	2.86	56	32.00	41	23.43	15	8.57	3	1.71	1	0.57	1	0.57	19	10.86	2	1.14	0	0	24	13.71	1	0.57	0	0
09031	170	0	0	4	2.35	82	48.24	37	21.76	15	8.82	0	0	5	2.94	5	2.94	9	5.29	2	1.18	2	1.18	9	5.29	0	0	0	0
09032	227	6	2.64	2	0.88	70	30.84	52	22.91	24	10.57	2	0.88	8	3.52	5	2.20	31	13.66	4	1.76	0	0	21	9.25	2	0.88	0	0
